Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
PortB,PB15,RTC_REFIN,TIM1_CH3N,,,,SPI2_MOSI,,,,TSC_G1_IO4,,LCD_SEG15,SWPMI1_SUSPEND,SAI1_SD_A,TIM15_CH2,EVENTOUT,,,
PortC,PC0,,LPTIM1_IN1,,,I2C3_SCL,,,,LPUART1_RX,,,LCD_SEG18,,,LPTIM2_IN1,EVENTOUT,,,
PortC,PC1,,LPTIM1_OUT,,,I2C3_SDA,,,,LPUART1_TX,,,LCD_SEG19,,,,EVENTOUT,,,
PortC,PC2,,LPTIM1_IN2,,,,SPI2_MISO,,,,,,LCD_SEG20,,,,EVENTOUT,,,
PortC,PC3,,LPTIM1_ETR,,,,SPI2_MOSI,,,,,,LCD_VLCD,,SAI1_SD_A,LPTIM2_ETR,EVENTOUT,,,
PortC,PC4,,,,,,,,USART3_TX,,,,LCD_SEG22,,,,EVENTOUT,,,
PortC,PC6,,,,,,,,,,TSC_G4_IO1,,LCD_SEG24,,,,EVENTOUT,,,
PortC,PC7,,,,,,,,,,TSC_G4_IO2,,LCD_SEG25,,,,EVENTOUT,,,
PortC,PC8,,,,,,,,,,TSC_G4_IO3,,LCD_SEG26,,,,EVENTOUT,,,
PortC,PC9,,,,,,,,,,TSC_G4_IO4,USB_NOE,LCD_SEG27,,,,EVENTOUT,,,
PortC,PC10,,,,,,,SPI3_SCK,USART3_TX,,TSC_G3_IO2,,LCD_COM4/LCD_SEG28/LCD_SEG40,,,,EVENTOUT,,,
PortC,PC11,,,,,,,SPI3_MISO,USART3_RX,,TSC_G3_IO3,,LCD_COM5/LCD_SEG29/LCD_SEG41,,,,EVENTOUT,,,
PortC,PC12,,,,,,,SPI3_MOSI,USART3_CK,,TSC_G3_IO4,,LCD_COM6/LCD_SEG30/LCD_SEG42,,,,EVENTOUT,,,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,,,
PortC,PC14-OSC32_IN (PC14),,,,,,,,,,,,,,,,EVENTOUT,,,
PortC,PC15-OSC32_OUT (PC15),,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH0-OSC_IN (PH0),,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH1-OSC_OUT (PH1),,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH3-BOOT0,,,,,,,,,,,,,,,,EVENTOUT,,,
